Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2021-07-02,1444.5562744140625,1446.0764789737038,1421.3371630580539,1436.4018773606442,5166064
2021-07-05,1454.829833984375,1460.4042928364024,1438.337030057457,1445.800272402929,4058338
2021-07-06,1439.396484375,1462.0166707012957,1434.6974143722837,1449.992477261759,4089574
2021-07-07,1441.6077880859375,1447.0901299365482,1423.2260896134326,1442.943872012725,4797120
2021-07-08,1438.0604248046875,1452.111631902731,1427.2340849094735,1444.7405068676917,3326813
2021-07-09,1440.04150390625,1446.4912386108886,1429.076932413475,1433.6838857739313,3436594
2021-07-12,1426.1744384765625,1453.9543879658552,1413.182853322326,1447.0900728857036,4588982
2021-07-13,1423.50244140625,1434.0524318458567,1415.532502253908,1434.0524318458567,4456160
2021-07-14,1452.94091796875,1458.3771452218957,1417.1909162636543,1431.8410498867274,5657716
2021-07-15,1456.5345458984375,1471.3227999848564,1433.6840102567476,1435.4346751806158,10021355
2021-07-16,1433.177001953125,1450.8677694289845,1427.7868892944462,1450.038495372009,6265593
2021-07-19,1420.5079345703125,1430.827577439992,1416.6842533134584,1423.2721065484407,5669162
2021-07-20,1428.2017822265625,1435.250331510157,1417.0989786588607,1417.37544087465,5069939
2021-07-22,1465.195556640625,1467.6372646746445,1438.6595699642166,1438.6595699642166,7854575
2021-07-23,1465.4256591796875,1472.8428986229605,1460.4502398363973,1463.6751069900915,4179719
2021-07-26,1477.8184814453125,1484.95925896066,1468.788808113547,1468.788808113547,4586710
2021-07-27,1476.5745849609375,1482.793971653899,1472.2900960775648,1478.831946993051,5892859
2021-07-28,1479.3848876953125,1481.2276690981403,1460.8649570917826,1478.9241923446054,4686788
2021-07-29,1489.8887939453125,1492.6529661047657,1474.3172682855018,1474.3172682855018,4660873
2021-07-30,1483.899658203125,1495.7856202142018,1479.8916313262764,1483.43896287304,6234257
2021-08-02,1503.2950439453125,1506.2434492001814,1491.915778802808,1499.5172520897947,5553389
2021-08-03,1525.0858154296875,1528.2646807747042,1507.0265805150668,1517.5304568093657,5513668
2021-08-04,1519.603759765625,1547.8444099620885,1510.2056187013793,1537.8933444445072,6740391
2021-08-05,1523.5655517578125,1535.0368203414143,1517.576512542795,1519.8338746417546,5420536
2021-08-06,1520.4788818359375,1530.1074820956221,1514.7663045094412,1526.7443835596982,3754855
2021-08-09,1532.549072265625,1536.3727533816016,1516.9775482009888,1530.429828837362,5018477
2021-08-10,1545.4027099609375,1547.9365346456254,1530.4762240809252,1536.8798451124424,6846517
2021-08-11,1545.6788330078125,1551.621757338008,1536.8795078621124,1543.145008879143,4899639
2021-08-12,1556.781494140625,1563.1391116075677,1542.4078236552127,1547.1530076147499,5659579
2021-08-13,1577.6051025390625,1587.0954716846345,1558.3481269986173,1563.6000089688387,5612790
2021-08-16,1570.4183349609375,1584.7458928921594,1557.242402932748,1573.4588567928229,4564109
2021-08-17,1604.7401123046875,1611.4201947845895,1553.9715079523235,1569.957613874854,9510390
2021-08-18,1597.1845703125,1617.501279046496,1591.2416456356016,1593.0844269275942,6686090
2021-08-20,1596.7237548828125,1607.8265563216848,1581.198346160496,1581.198346160496,6206972
2021-08-23,1602.068115234375,1615.3361641041759,1595.848727871136,1599.3039430729355,6189051
2021-08-24,1585.574951171875,1618.8832430092693,1578.0655954780548,1612.4335089733756,7602939
2021-08-25,1599.11962890625,1609.5773905590092,1582.9491775912518,1582.9491775912518,6153253
2021-08-26,1591.886474609375,1608.7479673670866,1584.7918120683787,1597.6912803061446,5302248
2021-08-27,1574.4722900390625,1591.8864822642358,1571.1551939252793,1589.398772653336,6698514
2021-08-30,1564.5675048828125,1583.548130586619,1557.5188436151059,1569.1744583290981,6559667
2021-08-31,1572.3070068359375,1580.184941768643,1553.3263822168703,1566.5023133100246,12255438
2021-09-01,1545.8634033203125,1575.1175610049615,1541.6250281664054,1575.1175610049615,7801974
2021-09-02,1556.321044921875,1561.1123441575191,1531.9503053321916,1545.4947039461204,6830050
2021-09-03,1566.9630126953125,1571.8463155973002,1551.9904148117053,1562.7246382508415,5339139
2021-09-06,1594.374267578125,1595.8484699977857,1565.7650453404115,1571.1091556454207,4876026
2021-09-07,1572.491455078125,1598.5207422608962,1570.0497472368866,1594.0059053520033,3520341
2021-09-08,1560.144775390625,1567.147322092823,1550.654406357424,1567.147322092823,4584896
2021-09-09,1558.6243896484375,1561.6650237609822,1549.9172930593818,1553.372507971617,3331674
2021-09-13,1558.9007568359375,1567.746083977361,1543.5134665464432,1550.7003581157205,4662374
2021-09-14,1553.6029052734375,1562.6324663812607,1546.6463607047492,1562.6324663812607,4945167
2021-09-15,1576.9140625,1580.27716103704,1557.3345101998113,1560.1447968138539,4062344
2021-09-16,1568.437255859375,1584.1008971280544,1558.4861917106707,1580.3692199536788,3246568
2021-09-17,1558.34814453125,1582.9492313677317,1552.0365282217304,1563.6000265605592,7454864
2021-09-20,1555.169189453125,1573.458771400081,1546.047399503613,1552.543248589865,5660743
2021-09-21,1583.36376953125,1591.0113571673237,1552.2208320225757,1566.3641564699292,4672222
2021-09-22,1581.935546875,1602.2061401165183,1578.3882155526221,1582.027663440301,4553892
2021-09-23,1605.5693359375,1607.8266980596106,1585.8054388405815,1595.848619506731,3826090
2021-09-24,1625.19482421875,1647.4464302089095,1614.6909486453485,1619.8047115812433,8280446
2021-09-27,1585.8516845703125,1629.9402087043086,1583.0413978413853,1629.7098610207722,5045337
2021-09-28,1554.4781494140625,1575.578017879383,1543.329344998811,1575.578017879383,6557197
2021-09-29,1559.223388671875,1567.654135945224,1524.9015856120272,1528.8174960282515,7792548
2021-09-30,1543.5135498046875,1569.1282544979545,1538.8144800518135,1569.1282544979545,6914031
2021-10-01,1534.2537841796875,1546.9689086664596,1530.66033786678,1534.2076696537777,5733906
2021-10-04,1546.7845458984375,1555.3074093680193,1534.4840032777674,1541.025854364936,2947154
2021-10-05,1559.7301025390625,1569.0821274485243,1532.2726167913884,1539.6437418270655,4373310
